sep=,
"area_name","code","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","area_id","area_mapit_name","area_type","area_covers","area_overlaps"
"Barnet","E09000003","81.4","32","84.5","53","19.9","22","22.3","44","2489","Barnet Borough Council","LBO","E14000741,E14000636,E14000703",""
"Bexley","E09000004","80.3","110","84.4","75","19","140","21.8","94","2494","Bexley Borough Council","LBO","E14000558,E14000869","E14000696"
"Brent","E09000005","79.9","145","84.5","59","19.2","105","22.4","36","2488","Brent Borough Council","LBO","E14000592,E14000591","E14000727"
"Bromley","E09000006","81","51","84.5","51","19.6","62","21.9","84","2482","Bromley Council","LBO","E14000872,E14000551,E14000604","E14000788"
"Croydon","E09000008","79.2","197","83.2","183","18.5","203","21.2","172","2481","Croydon Borough Council","LBO","E14000654,E14000655,E14000656",""
"Ealing","E09000009","79.2","204","84.2","88","18.9","153","21.7","111","2484","Ealing Borough Council","LBO","E14000675,E14000674,E14000676",""
"Enfield","E09000010","80.5","89","84","102","19.4","80","21.8","97","2495","Enfield Borough Council","LBO","E14000692,E14000687,E14000691",""
"Greenwich","E09000011","78.5","247","82.2","266","17.6","304","20.5","267","2493","Greenwich Borough Council","LBO","E14000690,E14000718","E14000696"
"Harrow","E09000015","82","8","85.6","10","20.9","1","23.4","4","2487","Harrow Borough Council","LBO","E14000731,E14000732","E14000906"
"Havering","E09000016","79.3","191","83.8","118","18.6","197","21.8","92","2485","Havering Borough Council","LBO","E14000900","E14000657,E14000751"
"Hillingdon","E09000017","79.9","142","83.5","149","18.8","161","21.5","145","2486","Hillingdon Borough Council","LBO","E14001007,E14000737","E14000906"
"Hounslow","E09000018","79.5","178","83.3","172","18.6","199","21.6","136","2483","Hounslow Borough Council","LBO","E14000701,E14000593",""
"Kingston upon Thames","E09000021","81.4","36","84.8","33","19.6","56","22.1","60","2480","Kingston upon Thames Borough Council","LBO","","E14000896,E14000770"
"Merton","E09000024","80.2","113","84.2","86","19.1","117","22","66","2500","Merton Borough Council","LBO","E14001040,E14000823",""
"Redbridge","E09000026","80.3","107","84","97","19.2","113","21.7","109","2497","Redbridge Borough Council","LBO","E14000760,E14000759","E14000634,E14000790"
"Richmond upon Thames","E09000027","81.7","20","85.9","3","19.7","49","23.4","6","2499","Richmond upon Thames Borough Council","LBO","E14001005","E14000896"
"Sutton","E09000029","80.5","95","84","103","19.1","120","21.6","126","2498","Sutton Borough Council","LBO","E14000621,E14000984",""
"Waltham Forest","E09000031","79.2","199","83.4","158","18.7","180","21.6","137","2496","Waltham Forest Borough Council","LBO","E14001013","E14000634,E14000790"
"Bracknell Forest UA","E06000036","80.8","68","84","104","19.5","73","21.6","124","2556","Bracknell Forest Council","UTA","","E14001042,E14000586"
"Brighton and Hove UA","E06000043","78.7","235","83","194","18.3","218","21.3","168","2614","Brighton and Hove City Council","UTA","E14000755,E14000598","E14000597"
"Isle of Wight UA","E06000046","80","139","83.5","141","18.9","156","21.5","149","2636","Isle of Wight Council","UTA","E14000762",""
"Medway UA","E06000035","78.5","243","82.2","268","17.7","291","20.4","277","2584","Medway Council","UTA","E14000711,E14000898","E14000626"
"Milton Keynes UA","E06000042","78.7","229","82.5","244","17.9","263","20.6","261","2588","Milton Keynes Council","UTA","E14000821,E14000822",""
"Portsmouth UA","E06000044","78.2","264","82.6","234","17.6","297","20.8","241","2657","Portsmouth City Council","UTA","E14000883,E14000884",""
"Reading UA","E06000038","78.4","249","82.7","228","18","252","20.9","221","2596","Reading Borough Council","UTA","","E14000889,E14000890"
"Slough UA","E06000039","78.5","248","82.7","230","18","261","21.1","196","2606","Slough Borough Council","UTA","E14000930","E14001042"
"Southampton UA","E06000045","78.5","242","82.7","225","18.3","227","21","200","2567","Southampton City Council","UTA","E14000956,E14000955","E14000901"
"West Berkshire UA","E06000037","80.8","67","84.6","44","19.4","81","22.5","30","2619","West Berkshire Council","UTA","E14000830","E14001048,E14000890"
"Windsor and Maidenhead UA","E06000040","81.1","47","84.6","47","19.6","65","22","74","2622","Windsor and Maidenhead Council","UTA","","E14001042,E14000803"
"Wokingham UA","E06000041","81.6","23","84.5","52","19.8","34","21.8","96","2623","Wokingham Borough Council","UTA","","E14000586,E14001048,E14000803,E14000889"
"Aylesbury Vale","E07000004","79.9","149","83.9","109","18.7","177","21.7","117","2258","Aylesbury Vale District Council","DIS","","E14000538,E14000608"
"Chiltern","E07000005","82.1","7","85.8","6","20.7","4","23.4","5","2257","Chiltern District Council","DIS","",""
"South Bucks","E07000006","81.5","29","84.7","37","19.4","78","22.5","29","2256","South Bucks District Council","DIS","",""
"Wycombe","E07000007","81.3","37","84.2","83","19.9","26","22.1","53","2255","Wycombe District Council","DIS","E14001056","E14000550,E14000538,E14000631,E14000608"
"Eastbourne","E07000061","78.7","228","83.5","148","18.7","178","21.5","152","2307","Eastbourne Borough Council","DIS","",""
"Hastings","E07000062","77.5","309","81.2","322","18","246","20.2","298","2308","Hastings Borough Council","DIS","",""
"Lewes","E07000063","80.9","62","84.8","32","19.8","32","22.6","25","2304","Lewes District Council","DIS","","E14000597,E14000786"
"Rother","E07000064","80.1","124","83.9","112","19.3","97","22","76","2305","Rother District Council","DIS","","E14000735,E14000557"
"Wealden","E07000065","81","58","84.2","81","19.6","63","21.9","86","2306","Wealden District Council","DIS","E14001023","E14000684,E14000557,E14000786"
"Basingstoke and Deane","E07000084","80.8","66","83","198","19.6","57","20.6","257","2327","Basingstoke and Deane Borough Council","DIS","E14000545","E14000844,E14000857"
"East Hampshire","E07000085","81.2","43","84.2","85","19.6","54","21.6","133","2330","East Hampshire District Council","DIS","E14000680","E14000811"
"Eastleigh","E07000086","81.6","22","84.9","30","19.7","41","22.3","41","2329","Eastleigh Borough Council","DIS","E14000685","E14001041"
"Fareham","E07000087","80.9","61","83.9","111","19.2","112","21.7","116","2335","Fareham Borough Council","DIS","E14000699","E14000713"
"Gosport","E07000088","79.1","211","82.3","257","18.2","231","20.4","274","2334","Gosport Borough Council","DIS","",""
"Hart","E07000089","82.9","2","85.6","9","20.6","5","22.9","14","2333","Hart District Council","DIS","","E14000844,E14000530"
"Havant","E07000090","79.6","170","83.4","152","19","133","21.7","112","2336","Havant Borough Council","DIS","E14000736","E14000811"
"New Forest","E07000091","81.9","15","85.2","20","20.3","11","22.8","16","2328","New Forest District Council","DIS","E14000827,E14000828",""
"Rushmoor","E07000092","79.1","209","82.9","208","18.3","220","21","203","2337","Rushmoor Borough Council","DIS","",""
"Test Valley","E07000093","80.8","70","84.6","40","19.3","99","22","72","2332","Test Valley Borough Council","DIS","","E14000901,E14000857"
"Winchester","E07000094","82","11","85.9","4","19.9","29","23.2","9","2331","Winchester City Council","DIS","","E14000811,E14001041"
"Ashford","E07000105","81.3","40","84.4","73","19.7","42","22.1","56","2353","Ashford Borough Council","DIS","E14000536","E14000704"
"Canterbury","E07000106","80.2","118","83.4","162","18.9","145","21.3","163","2354","Canterbury City Council","DIS","E14000619","E14000852"
"Dartford","E07000107","79.1","208","81.7","300","17.9","269","19.7","323","2358","Dartford Borough Council","DIS","",""
"Dover","E07000108","79.2","198","82.3","260","18.8","164","20.7","250","2355","Dover District Council","DIS","E14000670","E14000948"
"Gravesham","E07000109","79.6","174","83.4","160","18.8","160","21.1","197","2359","Gravesham Borough Council","DIS","E14000715",""
"Maidstone","E07000110","79.9","143","83.4","154","18.6","192","21.1","188","2356","Maidstone Borough Council","DIS","","E14000700,E14000804"
"Sevenoaks","E07000111","81.5","26","84.4","74","20","19","21.9","88","2350","Sevenoaks District Council","DIS","E14000918","E14000997,E14000659"
"Shepway","E07000112","79.3","192","83.6","132","18.8","163","21.6","120","2349","Shepway District Council","DIS","",""
"Swale","E07000113","79.3","193","82.7","226","18.4","217","20.8","243","2357","Swale Borough Council","DIS","E14000927","E14000700"
"Thanet","E07000114","77.6","302","82.5","247","17.8","279","20.8","242","2352","Thanet District Council","DIS","","E14000852,E14000948"
"Tonbridge and Malling","E07000115","80.6","86","84.4","76","19.1","123","22","64","2351","Tonbridge and Malling Borough Council","DIS","","E14000997,E14000626"
"Tunbridge Wells","E07000116","81.4","30","85.1","24","19.8","38","22.5","33","2348","Tunbridge Wells Borough Council","DIS","E14001004","E14000804"
"Cherwell","E07000177","80.1","122","83.7","127","19.1","125","21.7","113","2419","Cherwell District Council","DIS","E14000539","E14000874,E14000742"
"Oxford","E07000178","78.9","220","83.1","186","18.7","183","21.8","101","2421","Oxford City Council","DIS","E14000873","E14000874"
"South Oxfordshire","E07000179","81.1","49","84.6","49","19.5","70","22","75","2418","South Oxfordshire District Council","DIS","","E14001015,E14000742"
"Vale of White Horse","E07000180","81.4","34","84.5","56","19.7","45","21.9","77","2417","Vale of White Horse District Council","DIS","","E14000874,E14001015"
"West Oxfordshire","E07000181","80.7","72","83.7","128","19.4","94","21.4","157","2420","West Oxfordshire District Council","DIS","E14001046",""
"Elmbridge","E07000207","81.6","21","84.5","61","19.8","37","22.2","48","2455","Elmbridge Borough Council","DIS","E14000697","E14000907,E14001047"
"Epsom and Ewell","E07000208","82","10","85.5","11","20.4","9","22.7","20","2457","Epsom and Ewell Borough Council","DIS","","E14000770,E14000694"
"Guildford","E07000209","82.1","5","85.3","18","20.2","14","22.6","26","2452","Guildford Borough Council","DIS","","E14000824,E14000983,E14000719,E14001047"
"Mole Valley","E07000210","81.7","18","85.2","19","20","21","22.6","24","2454","Mole Valley District Council","DIS","","E14000824,E14000694"
"Reigate and Banstead","E07000211","80.8","65","84","98","19.4","87","21.4","156","2453","Reigate and Banstead Borough Council","DIS","E14000893","E14000694,E14000681"
"Runnymede","E07000212","81","55","84.4","66","19.5","72","22","65","2451","Runnymede Borough Council","DIS","",""
"Spelthorne","E07000213","80.1","127","83.4","164","19","139","21.2","181","2456","Spelthorne Borough Council","DIS","E14000959",""
"Surrey Heath","E07000214","81.1","46","84.1","90","19.4","83","21.1","195","2450","Surrey Heath Borough Council","DIS","",""
"Tandridge","E07000215","80.7","76","84","99","19.3","95","21.3","165","2448","Tandridge District Council","DIS","",""
"Waverley","E07000216","81.9","13","85.1","22","20.3","10","22.9","15","2447","Waverley Borough Council","DIS","E14000953","E14000719"
"Woking","E07000217","80.5","97","84.4","68","19.5","68","22.1","59","2449","Woking Borough Council","DIS","",""
"Adur","E07000223","80.3","108","83.3","174","19.4","84","21","201","2464","Adur District Council","DIS","",""
"Arun","E07000224","79.7","160","83.5","142","19.1","130","21.6","121","2463","Arun District Council","DIS","E14000576","E14001055,E14000534"
"Chichester","E07000225","81","50","84.6","39","19.7","47","22.4","39","2465","Chichester District Council","DIS","E14000633","E14000534"
"Crawley","E07000226","79.4","183","83.6","138","18.7","187","21.8","95","2469","Crawley Borough Council","DIS","E14000652",""
"Horsham","E07000227","81.5","27","84.4","69","19.9","28","22.3","42","2467","Horsham District Council","DIS","","E14000753,E14000534"
"Mid Sussex","E07000228","81.9","14","84.2","84","19.8","35","21.6","132","2466","Mid Sussex District Council","DIS","E14000817","E14000753,E14000534"
"Worthing","E07000229","78.8","227","82.9","207","18.3","219","21.1","184","2468","Worthing Borough Council","DIS","","E14001055,E14000682"
"Bath and North East Somerset UA","E06000022","80.6","84","84.4","65","19.4","91","21.9","89","2551","Bath and North East Somerset Council","UTA","E14000846,E14000547",""
"Bournemouth UA","E06000028","78.6","237","83.1","190","18.4","209","21","207","2555","Bournemouth Borough Council","UTA","E14000584","E14000585"
"Bristol, City of UA","E06000023","78.3","253","83","206","17.9","268","21.1","193","2561","Bristol City Council","UTA","E14000602,E14000599,E14000600,E14000601",""
"Cornwall UA","E06000052","79.5","179","83.5","146","19","143","21.3","160","2250","Cornwall Council","UTA","E14000961,E14000837,E14001003,E14000938,E14000616,E14000964",""
"North Somerset UA","E06000024","79.6","173","83.5","147","19.1","129","21.6","131","2642","North Somerset Council","UTA","E14001038,E14000850",""
"Plymouth UA","E06000026","78.3","252","82.1","271","18.1","242","20.5","264","2658","Plymouth City Council","UTA","E14000880,E14000879","E14000950"
"Poole UA","E06000029","80.2","117","84.1","92","19.6","64","21.8","99","2594","Poole Borough Council","UTA","E14000881","E14000585,E14000815"
"South Gloucestershire UA","E06000025","81","52","84.6","48","19.6","60","21.8","93","2608","South Gloucestershire Council","UTA","E14000702,E14000994,E14000774",""
"Swindon UA","E06000030","79.3","196","82.7","227","18.5","204","20.9","216","2612","Swindon Borough Council","UTA","E14000851,E14000947",""
"Torbay UA","E06000027","79.1","207","82.4","250","19.1","127","21","202","2617","Torbay Borough Council","UTA","E14000999","E14001001"
"Wiltshire UA","E06000054","80.4","101","83.9","108","19.3","98","21.8","104","2245","Wiltshire Council","UTA","E14000665,E14000860,E14000912,E14000635,E14000954",""
"East Devon","E07000040","81.4","35","84.5","57","19.9","30","22.3","43","2286","East Devon District Council","DIS","","E14000623,E14000996,E14000678"
"Exeter","E07000041","79.9","148","83.4","168","19","141","21.9","80","2290","Exeter City Council","DIS","E14000698","E14000678"
"Mid Devon","E07000042","80.3","112","84.9","28","19.4","93","22.7","21","2289","Mid Devon District Council","DIS","","E14000623,E14000996"
"North Devon","E07000043","79.7","162","83.4","166","18.9","151","21.5","150","2285","North Devon Council","DIS","E14000838",""
"South Hams","E07000044","81.3","38","84.7","38","19.9","24","22.2","51","2629","South Hams District Council","DIS","E14000950","E14000950,E14001001"
"Teignbridge","E07000045","80.1","133","84","107","18.9","157","21.9","85","2287","Teignbridge District Council","DIS","E14000835","E14000623"
"Torridge","E07000046","80.1","132","83.2","178","18.8","166","21.6","129","2630","Torridge District Council","DIS","E14001000","E14001000"
"West Devon","E07000047","79.9","150","84.5","58","19.2","110","21.6","128","2288","West Devon Borough Council","DIS","","E14000623,E14001000"
"Christchurch","E07000048","82","9","85.3","15","20.6","6","23.2","8","2292","Christchurch Borough Council","DIS","",""
"East Dorset","E07000049","82.9","1","86.5","2","20.8","2","23.6","3","2294","East Dorset District Council","DIS","","E14000839,E14000638,E14000815"
"North Dorset","E07000050","81.5","28","85.5","13","19.7","43","23","12","2295","North Dorset District Council","DIS","",""
"Purbeck","E07000051","80.8","69","86.6","1","20.3","12","23.6","2","2291","Purbeck District Council","DIS","","E14000936,E14000815"
"West Dorset","E07000052","81","56","85","26","19.6","55","22.4","38","2293","West Dorset District Council","DIS","E14001031","E14000936"
"Weymouth and Portland","E07000053","78.6","239","83.1","188","19.2","111","21.2","183","2296","Weymouth and Portland Borough Council","DIS","",""
"Cheltenham","E07000078","80.6","83","84.3","77","19.4","82","22.2","46","2326","Cheltenham Borough Council","DIS","E14000630","E14000990"
"Cotswold","E07000079","81.2","44","85.8","7","20.1","18","23.1","11","2322","Cotswold District Council","DIS","",""
"Forest of Dean","E07000080","79.7","158","83.8","122","18.8","168","21.6","123","2321","Forest of Dean District Council","DIS","",""
"Gloucester","E07000081","78","274","83.4","155","18","254","21.5","141","2325","Gloucester City Council","DIS","E14000712","E14000990"
"Stroud","E07000082","80.5","92","83.5","143","19.3","100","21.1","190","2323","Stroud District Council","DIS","E14000980","E14000991"
"Tewkesbury","E07000083","80.2","121","84.1","89","18.9","147","22.1","52","2324","Tewkesbury Borough Council","DIS","","E14000990,E14000705"
"Mendip","E07000187","80.5","90","84.2","82","19.4","75","21.8","91","2428","Mendip District Council","DIS","","E14001026,E14000932"
"Sedgemoor","E07000188","80.6","88","84.1","96","19.1","118","21.7","107","2431","Sedgemoor District Council","DIS","","E14001026,E14000595"
"South Somerset","E07000189","80.9","64","84.4","72","19.6","59","22.1","54","2430","South Somerset District Council","DIS","E14001060","E14000932"
"Taunton Deane","E07000190","79.8","152","83.8","119","18.9","158","21.3","166","2429","Taunton Deane Borough Council","DIS","E14000988",""
"West Somerset","E07000191","79.4","187","83.8","116","19.7","50","22.7","22","2427","West Somerset District Council","DIS","",""
"Isle of Anglesey / Ynys Môn","W06000001","78.5","245","83","204","18.2","236","21.4","158","2637","Isle of Anglesey Council","UTA","W07000041",""
"Gwynedd / Gwynedd","W06000002","78.8","223","83.1","191","18.3","224","21.4","154","2638","Gwynedd Council","UTA","W07000061,W07000057",""
"Conwy / Conwy","W06000003","79","217","82.6","239","18.9","159","21.3","167","2570","Conwy Council","UTA","W07000058","W07000059"
"Denbighshire / Sir Ddinbych","W06000004","78.3","250","81.2","321","18.1","239","20","308","2602","Denbighshire Council","UTA","W07000060","W07000059,W07000062"
"Flintshire / Sir y Fflint","W06000005","79","215","82.4","251","18.4","214","20.6","256","2605","Flintshire Council","UTA","W07000043,W07000042",""
"Wrexham / Wrecsam","W06000006","78.2","256","82","280","18","248","20.3","285","2624","Wrexham Council","UTA","W07000044","W07000062"
"Powys / Powys","W06000023","80","138","83.5","139","19.1","128","21.8","102","2595","Powys Council","UTA","W07000063","W07000068"
"Ceredigion / Ceredigion","W06000008","79.9","144","83.9","114","19.4","76","21.9","82","2640","Ceredigion Council","UTA","W07000064",""
"Pembrokeshire / Sir Benfro","W06000009","79.4","184","82.5","243","18.9","150","21","205","2641","Pembrokeshire Council","UTA","W07000065,W07000066","W07000066"
"Carmarthenshire / Sir Gaerfyrddin","W06000010","78.5","241","82.6","236","18.2","232","20.4","279","2604","Carmarthenshire Council","UTA","W07000067,W07000045","W07000066"
"Swansea / Abertawe","W06000011","77.6","300","82.2","262","17.9","273","20.7","249","2549","Swansea Council","UTA","W07000048,W07000047","W07000069,W07000046"
"Neath Port Talbot / Castell-nedd Port Talbot","W06000012","76.6","333","81.2","319","17.1","328","19.8","321","2560","Neath Port Talbot Council","UTA","W07000049","W07000069,W07000046,W07000073,W07000070,W07000074"
"Bridgend / Pen-y-bont ar Ogwr","W06000013","77","327","80.6","335","17.5","308","19.6","328","2592","Bridgend Council","UTA","","W07000073,W07000078,W07000074"
"The Vale of Glamorgan / Bro Morgannwg","W06000014","79.6","164","83.4","165","18.6","190","21.8","100","2557","Vale of Glamorgan Council","UTA","","W07000075,W07000073,W07000078,W07000079,W07000080"
"Cardiff / Caerdydd","W06000015","78.2","259","82.7","233","17.8","276","21","204","2639","Cardiff Council","UTA","W07000050,W07000080,W07000051","W07000075,W07000078,W07000079,W07000080"
"Rhondda Cynon Taf / Rhondda Cynon Taf","W06000016","76.4","338","81","327","17","334","19.6","327","2599","Rhondda Cynon Taf Council","UTA","W07000052","W07000075,W07000078,W07000070,W07000074"
"Merthyr Tydfil / Merthyr Tudful","W06000024","77.4","311","81.1","324","17.5","307","19.3","337","2585","Merthyr Tydfil Council","UTA","","W07000071,W07000068"
"Caerphilly / Caerffili","W06000018","77.6","299","81.5","309","17.3","319","19.6","324","2558","Caerphilly Council","UTA","W07000077,W07000076","W07000071"
"Blaenau Gwent / Blaenau Gwent","W06000019","75.7","343","79.9","345","16.5","345","18.7","346","2554","Blaenau Gwent Council","UTA","W07000072",""
"Torfaen / Tor-faen","W06000020","77.6","304","82.1","273","17.4","314","20.2","301","2616","Torfaen Council","UTA","W07000053","W07000054,W07000056"
"Monmouthshire / Sir Fynwy","W06000021","80.1","128","83.9","113","19.2","107","21.9","78","2603","Monmouthshire Council","UTA","W07000055","W07000054,W07000055"
"Newport / Casnewydd","W06000022","77.9","286","82.1","274","17.6","299","20.4","272","2559","Newport Council","UTA","","W07000055,W07000056"
